date,BRL,CLP,COP,MXN
2013-01-01,-0.7213508754811497,-1.1663296232169937,-1.0556136996581311,-0.8100156708791819
2013-01-02,-0.7255099111978182,-1.2254296032361094,-1.0556136996581311,-0.8489030303255521
2013-01-03,-0.7218707549457338,-1.2453789635801154,-1.0709796591701604,-0.8274939244931644
2013-01-04,-0.7398065964738655,-1.2466257986016158,-1.0693798135066805,-0.8498155495905388
2013-01-07,-0.7470849089780347,-1.265328323924121,-1.0568972967602257,-0.8425153954706429
2013-01-08,-0.7288891277176113,-1.2553536437521182,-1.0568972967602257,-0.8294944474971742
2013-01-09,-0.7305787359775079,-1.251613138687617,-1.0498840198400863,-0.8567998316571702
2013-01-10,-0.7470849089780347,-1.2660764249370213,-1.0561159767850374,-0.8970208731062138
2013-01-11,-0.7395466567415737,-1.2528599737091177,-1.0681334221176901,-0.8796128132818462
2013-01-14,-0.7424059937967828,-1.2361523844210127,-1.0664963707411057,-0.9019344383792206
2013-01-15,-0.7359075004894888,-1.2174498590985074,-1.0738072933660785,-0.8957924817879618
2013-01-16,-0.7288891277176113,-1.2211903641630086,-1.0525442283270354,-0.8921424047280135
2013-01-17,-0.7327882237019879,-1.2578473137951187,-1.042740522924082,-0.9045316085949531
2013-01-18,-0.7308386757097997,-1.2640814889026204,-1.0564508282029754,-0.8774719026986073
2013-01-21,-0.7304487661113618,-1.2511144046790166,-1.0565252396291835,-0.866942834256449
2013-01-22,-0.7282392783868817,-1.2660764249370213,-1.0565252396291835,-0.8927741488345433
2013-01-23,-0.7378570484816771,-1.2673232599585214,-1.0393734058881534,-0.8671534156252924
2013-01-24,-0.7455252705842842,-1.2690688289886216,-1.036155111704641,-0.8871937425601996
2013-01-25,-0.7451353609858469,-1.2553536437521182,-1.0342204146232234,-0.862485528615936
2013-01-28,-0.7903648744046138,-1.2386460544640132,-1.035113351737724,-0.8407956476250907
2013-01-29,-0.8021921322238893,-1.26158781885962,-1.0340157832011505,-0.8575017695533144
2013-01-30,-0.7955636690504492,-1.2610890848510194,-1.0409918544081858,-0.8569753161312064
2013-01-31,-0.7962135183811788,-1.258595414808019,-1.0462936685255322,-0.8615379124561414
2013-02-01,-0.8001126143655551,-1.256600478773618,-1.0418103800964775,-0.897091066895828
2013-02-04,-0.791534603199927,-1.243633394550015,-1.0407872229861124,-0.8615730093509486
2013-02-05,-0.8049214994129529,-1.2548549097435178,-1.0227052464174773,-0.8893346531434384
2013-02-06,-0.7962135183811788,-1.2466257986016158,-1.016808140890464,-0.8710842678436982
